judul,tanggal,isi,kategori
"Tak Melulu soal Makanan, Ini Resep Panjang Umur Menurut Ilmuwan","Rabu, 04 Sep 2024 15:09 WIB","Jakarta - Penelitian terbaru menemukan orang-orang dengan tingkat ketahanan mental yang tinggi dapat hidup lebih lama. Hal ini bahkan sangat lazim terjadi pada wanita.Diberitakan The Guardian, penelitian yang dipublikasikan di BMJ Mental Health, yang telah ditinjau sejawat dan melibatkan peneliti dari Universitas Sun Yat-sen di China, menemukan ada hubungan antara orang-orang yang memiliki tingkat ketahanan mental yang tinggi dengan risiko kematian yang lebih rendah dari semua penyebab.Para peneliti mengamati data dari Health and Retirement Study (HRS), sebuah studi jangka panjang yang mewakili orang dewasa di AS yang berusia minimal 50 tahun. Penelitian ini pertama kali dimulai pada tahun 1992 dan mencatat informasi tentang status ekonomi, kesehatan, perkawinan, dan keluarga para peserta, yang dipantau setiap dua tahun.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Penelitian tersebut kemudian mengamati data HRS dari 10.569 peserta, dari tahun 2006 hingga 2008, yang merupakan periode saat pertanyaan tentang ketahanan mental dikumpulkan untuk pertama kalinya. Usia rata-rata subbagian ini adalah 66 tahun, dengan 59% di antaranya adalah wanita.Peserta diikuti hingga Mei 2021 atau hingga mereka meninggal, dan selama periode pelacakan selama 12 tahun, 3.489 peserta meninggal. Para peneliti menemukan hubungan antara ketahanan mental peserta dan kematian mereka karena sebab apa pun, dan menemukan bahwa mereka yang memiliki skor ketahanan mental yang lebih tinggi memiliki risiko kematian yang lebih rendah.Baca juga: Apakah Ceker Ayam Mengandung Kolesterol Tinggi? Begini FaktanyaPenelitian tersebut juga menemukan bahwa wanita memiliki hubungan yang lebih kuat antara skor ketahanan mental yang tinggi dan risiko kematian yang lebih rendah daripada pria. Skor ketahanan juga dibagi menjadi kuartil dan dikaitkan dengan skor probabilitas kelangsungan hidup 10 tahun.Namun, para peneliti mengatakan bahwa penelitian tersebut bersifat observasional dan hubungan kausal antara ketahanan mental dan penyebab kematian yang lebih rendah tidak boleh disimpulkan. Mereka menambahkan bahwa variabel seperti faktor genetik dan kesulitan masa kecil tidak termasuk dalam penelitian tersebut.Ketahanan mental diukur menggunakan skala yang mencakup pengamatan kualitas ketekunan, ketenangan, rasa memiliki tujuan, kepercayaan diri, dan pengakuan bahwa pengalaman tertentu harus dihadapi sendiri.Berbagai faktor, termasuk tetapi tidak terbatas pada makna hidup, emosi positif, kesehatan yang dinilai sendiri, dan kepuasan dengan dukungan sosial, telah diidentifikasi sebagai pengaruh potensial pada ketahanan psikologis.""Memicu emosi positif ini dapat meningkatkan efek perlindungan dari ketahanan psikologis dan mengurangi dampak negatif dari akumulasi kesulitan pada kesehatan mental pada orang dewasa,"" tulis peneliti.Baca juga: Ternyata Ini Minuman yang Bikin Panjang Umur Menurut Pakar Gizi Jepang











                Kemenkes Bakal Perbanyak Skrining Kesehatan Mental di Puskesmas            






















                            Kemenkes Bakal Perbanyak Skrining Kesehatan Mental di Puskesmas                        








(kna/suc)


ketahanan mental panjang umur kesehatan mental kualitas hidup",Kesehatan
"Gaduh Larangan Hijab di RS Medistra, Asosiasi RS Swasta Angkat Bicara","Rabu, 04 Sep 2024 14:45 WIB","Jakarta - Ketua Umum Asosiasi Rumah Sakit Swasta Indonesia (ARSSI), drg Iing Ichsan Hanafi, MARS, MH, ikut buka suara terkait viralnya kasus pelarangan hijab di RS Medistra bagi para tenaga kesehatan. Pihaknya mengaku sudah menerima klarifikasi dari RS terkait.Meski begitu, drg Ling meminta hal semacam ini tidak kembali terjadi di masa mendatang. Dalam sejumlah pelayanan di RS swasta, pelayanan tidak pernah bermasalah dengan cara berpakaian seseorang, terlebih berkaitan dengan agama dan kepercayaan.""Kami dari ARSSI sudah mendapat konfirmasi klarifikasinya, dan semoga ini bisa dapat segera diselesaikan dengan baik,"" beber dia kepada detikcom Rabu (4/9/2024).


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Karena saya melihat selama ini tidak ada masalah dengan dokter, atau perawat, atau tenaga kesehatan lain yang bertugas di rumah sakit dengan memakai hijab,"" sambung dia.Baca juga: Sesal IDI soal Viral Dokter Dilarang Pakai Hijab di RS MedistraSebelumnya diberitakan, RS Medistra tidak lagi menempatkan oknum yang diduga melarang penggunaan hijab dalam proses rekrutmen. Direktur Utama RS Medistra dr Agung Budisatria, MM, FISQua menyebut langkah tersebut sebagai tindakan tegas yang diberikan pihak RS. Gaduhnya laporan SARA di RS Medistra Jakarta Selatan ramai disorot pasca dr Diani Kartini spesialis bedah onkologi mengajukan permohonan pengunduran diri. Ia menyesal dengan kebijakan yang dinilai menyalahi aturan kebebasan beragama.Hal ini disampaikan dalam surat terbuka kepada RS Medistra Jakarta Selatan, atas keluhan dari asisten dan kerabatnya saat mendaftar ke RS Medistra Jakarta Selatan. Dalam proses interview, ada pembahasan mengenai permintaan membuka hijab. Karenanya, Diani juga mengundurkan diri dari tempatnya berpraktik dan resmi tidak bekerja sejak 31 Agustus. Surat pengunduran dirinya viral di media sosial X.""Manajemen RS Medistra menyampaikan permohonan maaf dan menyesali terjadinya kesalahpahaman dari proses interview yang dilakukan oleh salah satu karyawan kami,"" tandas dr Agung dalam keterangan tertulis yang diterima detikcom, Senin (2/9).Baca juga: RS Medistra Tindak Tegas Oknum yang Larang Dokter Pakai Hijab











                Maaf RS Medistra Gegara Larangan Berjilbab            






















                            Maaf RS Medistra Gegara Larangan Berjilbab                        








(naf/up)


larangan hijab rs medistra asosiasi rumah sakit swasta kebebasan beragama diskriminasi agama rumah sakit",Kesehatan
"Paus Puji Warga RI Masih Mau Punya Anak, Bisa Jadi Contoh Negara Lain","Rabu, 04 Sep 2024 13:46 WIB","Jakarta - Kepala Negara Vatikan, Paus Fransiskus, mengaku kagum dengan kecenderungan masyarakat Indonesia yang masih terbuka untuk hidup berkeluarga dan punya banyak anak.Hal tersebut diungkapkannya saat bertemu dengan Presiden Joko Widodo (Jokowi) di Istana Negara, Jakarta Pusat, Rabu (4/9/2024).Dalam pidatonya, Paus memuji warga Indonesia yang masih ingin memiliki anak bahkan lebih dari dua. Menurutnya hal tersebut dapat menjadi contoh untuk negara lain.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Mendengar bahwa keluarga-keluarga [di Indonesia] masih memiliki tiga sampai empat anak dan ini sebuah contoh yang bagus bagi negara,"" kata Paus.Baca juga: Menkes Geram Kasus Perundungan PPDS, Ada Unsur Pelecehan SeksualIa mengatakan Indonesia berbeda dengan negara lain. Saat warga di negara lain memilih untuk memelihara hewan peliharaan, seperti kucing dan anjing, warga Indonesia masih mau merawat anak. ""Karena banyak negara tidak mau lagi memiliki anak tetapi memiliki binatang,"" imbuhnya lagi.Sebagaimana diketahui, sejumlah negara, seperti Jepang, China, hingga Korea Selatan mengalami penurunan angka kelahiran hingga memicu krisis populasi. Tak sedikit warganya yang memilih untuk tidak memiliki anak lantaran sejumlah faktor, salah satunya faktor ekonomi.Baca juga: Riwayat Kesehatan Paus Fransiskus, Aktif di Usia Lanjut Meski Paru-paru Tak Utuh











                Singgung soal Penurunan Angka Kelahiran di Korut, Kim Jong Un Nangis            






















                            Singgung soal Penurunan Angka Kelahiran di Korut, Kim Jong Un Nangis                        








(suc/naf)


paus fransiskus kehidupan berkeluarga keluarga indonesia angka kelahiran contoh negara",Kesehatan
WHO Bicara Potensi Mpox Varian 'Ganas' Masuk RI,"Rabu, 04 Sep 2024 13:30 WIB","Jakarta - Organisasi Kesehatan Dunia (WHO) berbicara soal kemungkinan Mpox varian 'ganas' clade Ib masuk ke Indonesia seperti yang terjadi di Swedia dan Thailand. National Professional Officer (NPO) WHO Indonesia Musthofa Kamal mengatakan potensi Clade Ib sudah masuk ke Indonesia tanpa terdeteksi tentu saja ada.Namun, ia meyakini sistem surveilans yang diberlakukan pemerintah saat ini relatif baik dan semaksimal mungkin bisa mengantisipasi potensi penyebaran Mpox.""Sejauh ini (di Indonesia) masih belum ada kasus Clade Ib, tetapi potensi tidak terdeteksi tentu saja ada, sama dengan negara lainnya seperti Singapura dan Malaysia. Mereka juga ada potensi tapi sejauh ini belum ada kasus di wilayah mereka juga,"" kata Kamal dalam webinar Badan Riset dan Inovasi Nasional (BRIN), Rabu (4/9/2024).


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Baca juga: WHO Ingatkan Status PHEIC Mpox Tidak Bisa Disamakan dengan PandemiKamal menjelaskan hingga saat ini kasus Clade Ib di luar Afrika hanya disebabkan oleh importasi. Artinya kasus terjadi pada orang-orang yang memiliki riwayat perjalanan ke negara endemik, seperti DR Kongo dan Burundi.Kamal berpendapat sistem surveilans yang dikembangkan oleh Kementerian Kesehatan RI (Kemenkes) sudah sangat baik. Terlebih baru-baru ini, Kemenkes juga memberlakukan skrining SATUSEHAT Health Pass serta testing untuk pelaku perjalanan dari luar negeri. Bahkan menurutnya, Indonesia menjadi salah satu negara yang paling siap dalam pencegahan penyebaran dan penanganan Mpox.""Ini kemudian diperkuat tidak hanya di klinik-klinik dan rumah sakit saja, tapi juga di pintu masuk (perbatasan). Termasuk kapasitas testing di Indonesia termasuk yang paling baik yang saya bilang, vaksin tersedia, obat juga,"" tandasnya.Baca juga: Bantahan Kemenkes soal Narasi Mpox Efek Samping Vaksin Covid-19











                Tingkat Fatalitas Mpox Clade IIb yang Ada di Indonesia            






















                            Tingkat Fatalitas Mpox Clade IIb yang Ada di Indonesia                        








(avk/naf)


mpox who clade ib indonesia kasus mpox di indonesia",Kesehatan
"Riwayat Kesehatan Paus Fransiskus, Aktif di Usia Lanjut Meski Paru-paru Tak Utuh","Rabu, 04 Sep 2024 12:50 WIB","Daftar Isi




							Riwayat kesehatan Paus Fransiskus						






Jakarta - Paus Fransiskus tiba di Indonesia dalam rangka Perjalanan Apostolik ke-45. Dia akan melakukan sederet kegiatan di Indonesia sampai tanggal 5 September 2024, dan akan bertolak melanjutkan Perjalan Apostolik ke Papua Nugini pada 6 September 2024.Sebelum mendarat, Paus Fransiskus mengatakan ini adalah penerbangan terpanjang yang pernah dilakukannya.Saya rasa ini adalah (penerbangan) terpanjang yang pernah saya lakukan,"" katanya kepada wartawan di atas pesawat setelah mendarat dikutip dari AFP.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Dalam banyak kesempatan, Paus Fransiskus sering terlihat memakai kursi roda. Hal ini karena Ia mengalami gangguan pada kakinya yang membuatnya harus menjalani operasi lutut.Baca juga: Paus Fransiskus Tiba di Indonesia: Ini Penerbangan Terpanjang SayaRiwayat kesehatan Paus FransiskusDiberitakan APNews, Paus Fransiskus telah dirawat di rumah sakit sebanyak tiga kali sejak ia terpilih menjadi Paus pada tahun 2013, dan menjalani operasi besar saat masih muda untuk mengangkat sebagian dari salah satu paru-parunya. Selama masa-masa itu, Paus berusia 87 tahun itu sering mengeluhkan linu panggul, atau nyeri saraf, yang membuatnya sulit berjalan dan berdiri. Baru-baru ini, ligamen lututnya terkilir dan mengalami patah tulang kecil di salah satu lututnya yang memaksanya menggunakan kursi roda dan alat bantu jalan selama lebih dari setahun.Fransiskus memiliki dokter pribadi, Dr. Roberto Bernabei, yang merupakan dokter spesialis penyakit dalam dan geriatri di Universitas Katolik Hati Kudus di Roma. Ia juga memiliki perawat pribadi, Massimiliano Strappetti, seorang karyawan sistem kesehatan Vatikan yang menurut Fransiskus telah menyelamatkan hidupnya ketika Strappetti mendiagnosis masalah usus pada tahun 2021.Saat muda, sekitar tahun 1957 ketika masih berusia 20-an, Paus Francis mengidap infeksi pernapasan parah yang memaksa dokter untuk mengangkat sebagian dari salah satu paru-parunya.Masalah kesehatan yang harus dihadapi Paus Fransiskus tidak hanya sampai di situ, tercatat dirinya telah dirawat di rumah sakit sejak terpilih menjadi Paus pada 2013 di usia 76 tahun.Teranyar, pada tahun 2023 Vatikan mengatakan Paus Fransiskus menjalani operasi perut selama tiga jam dengan anestesi umum dan tidak ada komplikasi.Baca juga: Sempat Dirawat di RS 3 Hari, Ternyata Paus Fransiskus Idap Bronkitis











                Riwayat Kesehatan Jane Birkin Sebelum Meninggal            






















                            Riwayat Kesehatan Jane Birkin Sebelum Meninggal                        








(kna/up)


paus fransiskus riwayat kesehatan paus fransiskus datang ke indonesia",Kesehatan
"Soal Kematian dr ARL PPDS, Rektor Undip Janji Tak Ada yang Ditutup-tutupi","Rabu, 04 Sep 2024 12:33 WIB","Jakarta - Rektor Universitas Diponegoro (Undip), Suharnomo menegaskan pihaknya tidak menutup-nutupi soal fakta di balik kematian dr ARL yang sebelumnya menjalani Program Pendidikan Dokter Spesialis (PPDS) prodi anestesi.Suharnomo menambahkan, Undip menyerahkan secara penuh proses investigasi kepada pihak kepolisian terkait adanya dugaan pemalakan dan perundungan yang dialami oleh dr ARL.""Untuk apa kami menutupi-nutupi, Undip itu badan hukum milik negara. Ini milik kita bersama, jadi buat apa kita menutupi sesuatu,"" kata Suharnomo dalam keterangannya, dikutip dari detikJateng, Rabu (4/9/2024).


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Ini era digital di mana semua orang bisa berekspresi di ruang digital, yang kita harapkan dialektika di ruang publik yang produktif, yang edukatif, bermanfaat,"" sambungnya.Baca juga: Menkes Geram Kasus Perundungan PPDS Undip Ada Unsur Pelecehan SeksualSetelah adanya kematian dr ARL, Suharnomo mengatakan ini akan menjadi bahan evaluasi bersama. Menurutnya, sekarang bukan saat yang tepat untuk saling menyalahkan. ""Kami berharap peristiwa ini menjadi momentum evaluasi bersama. Tidak bijaksana kalau peristiwa ini menjadi wacana dan polemik serta perdebatan semata. Jangan pula menjadi bahan untuk menyalahkan satu dan lainnya,"" tegasnya,"" katanya.Suharmono juga mengajak semua pihak untuk bersama-sama berkolaborasi demi mencari solusi atas masalah yang ada. Pihaknya mengaku terbuka dan kooperatif terhadap hal tersebut.Baca juga: Dokter Residen Undip Bantah Pemalakan, Singgung Iuran Sukarela buat Beli MakanLANJUTKAN MEMBACA DI SINI











                Wamenkes soal Bullying PPDS Undip: Kepolisian Sedang Menginvestigasi            






















                            Wamenkes soal Bullying PPDS Undip: Kepolisian Sedang Menginvestigasi                        








(dpy/naf)


kematian dr arl rektor undip pemalakan ppds",Kesehatan
WHO Ingatkan Status PHEIC Mpox Tidak Bisa Disamakan dengan Pandemi,"Rabu, 04 Sep 2024 12:00 WIB","Jakarta - Organisasi Kesehatan Dunia (WHO) mengingatkan bahwa status kedaruratan internasional Public Health Emergency of International Concern (PHEIC) yang diberikan pada Mpox tidak bisa disamakan dengan pandemi. Seperti yang diketahui bahwa status PHEIC sebelumnya juga sempat diberikan pada COVID-19 ketika pandemi.National Professional Officer (NPO) WHO Indonesia Musthofa Kamal menuturkan penetapan status PHEIC pada suatu penyakit memiliki kriteria-kriteria pertimbangan tertentu.Menurutnya, skala kasus Mpox pada tahun ini bisa dikatakan minimal, bahkan bila dibandingkan dengan outbreak tahun 2022. Namun, karena adanya kemunculan varian baru yang menyebar dengan cepat dan belum diketahui secara jelas karakteristiknya, maka status PHEIC itu diberikan.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Jadi kalau bisa saya garis bawahi ada beberapa pertimbangan untuk menentukan atau mendeklarasikan status PHEIC. Jadi emergency committee akan mempertimbangkan beberapa hal, kemudian rekomendasikan ke dirjen WHO,"" ucap Kamal dalam webinar Badan Riset dan Inovasi Nasional (BRIN), Rabu (4/9/2024).""Ada beberapa rekomendasi misalnya, apakah kejadian itu serius, unusual, atau unexpected. Kemudian ada indikasi di luar batas negara endemis dan apakah memang memerlukan immediate international action, statusnya tidak bisa disamakan dengan pandemi,"" sambungnya. Baca juga: Bantahan Kemenkes soal Narasi Mpox Efek Samping Vaksin Covid-19Hingga saat ini, ada dua penyakit yang dideklarasikan sebagai PHEIC oleh WHO. Selain Mpox, polio juga termasuk sebagai PHEIC.Sejak tahun 2014, polio dideklarasikan sebagai PHEIC dan sampai sekarang statusnya belum dicabut. Kondisi itu dilakukan karena penyakit polio juga masih memerlukan bantuan penanganan dari semua pihak, meskipun tidak menyebar secara luas seperti pandemi COVID-19.""Jadi artinya kita bisa menyeimbangkan atensi yang kita berikan terhadap penyakit-penyakit yang ada di Indonesia, baik yang sudah ada, maupun yang berpotensi importasi,"" tandasnya.Baca juga: Ketahui Cara Penularan Mpox dan Pencegahannya dengan Tepat











                Pertimbangan WHO Tetapkan Mpox Jadi Darurat Kesehatan Global            






















                            Pertimbangan WHO Tetapkan Mpox Jadi Darurat Kesehatan Global                        








(avk/kna)


pheic mpox who pandemi mpox varian baru",Kesehatan
Segini Batas Aman Makan Ceker Agar Tak Picu Kolesterol Tinggi,"Rabu, 04 Sep 2024 11:01 WIB","Jakarta - Ceker ayam kerap dikaitkan dengan kolesterol. Beredar anggapan bagian ayam satu ini bisa membuat kadar kolesterol jahat di dalam tubuh melonjak naik.Ahli gizi dari Universitas Muhammadiyah Surabaya Tri Kurniawati menjelaskan ceker ayam mengandung zat yang bermanfaat untuk tubuh, seperti 19 jenis asam amino, kolagen, hingga protein.Selain itu, ceker ayam juga mengandung lemak dan kolesterol yang harus diperhatikan.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Pada 100 gram ceker ayam mengandung 5,5 gram lemak tak jenuh, sekitar 60 persen dari kebutuhan harian orang dewasa. Ceker ayam juga mengandung 84 gram kolesterol atau 20 persen dari kebutuhan orang dewasa.Baca juga: Apakah Ceker Ayam Mengandung Kolesterol Tinggi? Begini Faktanya""Jadi, bila konsumsi ceker ayam dalam jumlah banyak atau sering, akan menyebabkan peningkatan kolesterol yang bila terjadi secara terus-menerus akan menyebabkan badan mudah lelah,"" terang Tri yang dikutip dari laman UM Surabaya. ""Bahkan, pada akhirnya dapat menyebabkan gagal jantung atau stroke,"" sambungnya.Meski begitu, Tri menekankan ceker ayam masih bisa dikonsumsi asalkan dalam batas yang wajar. Ia menyarankan untuk tidak terlalu sering mengkonsumsi bagian ayam satu ini.""Dikatakan sering, apabila dikonsumsi lebih dari tiga kali dalam satu minggu dan dalam jumlah yang lebih dari satu porsi secara terus menerus,"" tuturnya.Baca juga: 5 Cara Menurunkan Kolesterol Secara Alami, Salah Satunya Kurangi Makan Ini











                Mitos atau Fakta: Banyak Makan Kuning Telur Bikin Kolesterol Naik            






















                            Mitos atau Fakta: Banyak Makan Kuning Telur Bikin Kolesterol Naik                        








(sao/naf)


ceker ayam kolesterol ceker kolesterol tinggi ceker ayam bikin kolesterol",Kesehatan
"Pemicu Kelahiran Jepang Ngedrop, Termasuk Warga Pilih Menjomblo sampai Tua","Rabu, 04 Sep 2024 10:29 WIB","Jakarta -
        
        Penurunan angka kelahiran menjadi salah satu masalah sosial yang harus dialami oleh Jepang. Banyaknya pemuda yang enggan menikah dan punya anak serta populasi yang menua disebut-sebut menjadi beberapa faktor hal itu bisa terjadi.Menurut data Kementerian Kesehatan di sana, jumlah kelahiran di Jepang pada periode Januari-Juni 2024 turun menjadi 350.074 kelahiran. Itu turun sebanyak 5,7 persen atau 20.978 dibandingkan periode yang sama tahun lalu atau menjadi level terendah sejak tahun 1969.Kondisi ini juga terjadi beriringan dengan tingginya jumlah orang berusia tua yang masih melajang. Seperti di Tokyo misalnya, jumlah orang berusia 50 tahun yang belum menikah terbilang tinggi.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Dikutip dari Independent, jumlah orang berusia 50 tahun yang belum menikah di Tokyo tertinggi di Jepang. Jumlahnya sebanyak 32 persen untuk pria dan 24 persen untuk wanita.Meskipun pemerintah telah berupaya, para ahli memperkirakan bahwa penurunan populasi akan terus berlanjut selama beberapa dekade karena struktur negara Jepang saat ini. Bahkan apabila angka kelahiran secara langsung, populasi disebut akan terus menurun karena ada tidak keseimbangan demografis antara tua dan muda. ""Penurunan angka kelahiran berada dalam situasi kritis. Enam tahun ke depan atau lebih hingga 2030, ketika jumlah orang muda menurun dengan cepat, akan menjadi akan menjadi kesempatan terakhir untuk membalikkan tren tersebut,"" kata Kepala Sekretaris Kabinet Yoshimasa Hayashi.Kondisi ini belum lagi diperparah dengan menurunnya angka pernikahan dan meningkatnya angka perceraian. Situasi ini akhirnya memberikan dampak pada angka kelahiran yang jalan di tempat, bahkan terus menurun.Jumlah pernikahan per 1.000 orang turun dari 10 pada tahun 1970 menjadi 4,1 pada tahun 2022.Baca juga: Sedihnya Fenomena Lonely Deaths di Jepang, Ada 37 Ribu Orang Mati KesepianNext: Fenomena Lonely Death



Halaman

                    1                

                    2                


                Selanjutnya 





penurunan angka kelahiran populasi menua jepang orang tua melajang fenomena lonely death",Kesehatan
"Menkes Geram Kasus Perundungan PPDS, Ada Unsur Pelecehan Seksual","Rabu, 04 Sep 2024 10:11 WIB","Jakarta - Menteri Kesehatan RI Budi Gunadi Sadikin menyebut kasus perundungan yang terjadi di Program Pendidikan Dokter Spesialis (PPDS) sudah keterlaluan.Selain perundungan secara fisik dan mental, para korban disebutnya juga mengalami pelecehan seksual. Adapun kasus perundungan ini mencuat setelah dr ARL, seorang mahasiswi PPDS Undip ditemukan meninggal di kamar kos. Ia meninggal setelah menyuntikkan obat diduga dipicu bullying para seniornya.""Ini sudah keterlaluan. Benar-benar dirundung fisik dan mental, sexual harassment, diminta uang juga. Akhirnya puncaknya ada yang tidak tahan, meninggal,"" ungkapnya seusai menghadiri peresmian Gedung Pelayanan Kesehatan Ibu dan Anak (KIA) RSUP Prof Ngoerah, Denpasar, Bali, Senin (2/9/2024), dikutip dari detikBali.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Baca juga: Menkes Minta Pelaku 'Bullying' PPDS Undip Dipidanakan: Biar Tahu Efek JeraMenkes mengatakan perundungan di lingkungan PPDS telah terjadi selama puluhan tahun. Ia mengklaim telah mewanti-wanti pihak terkait untuk menyelesaikan perundungan.Menurutnya, perundungan tak dapat menjadi alasan untuk melahirkan tenaga kesehatan yang tangguh. ""Perundungan ini sudah puluhan tahun tidak pernah diselesaikan dengan tuntas, karena memang kurang komitmen dari para stakeholder. Tidak benar bahwa perundungan itu dipakai sebagai alasan untuk menciptakan tenaga yang tangguh,"" bebernya.LANJUTKAN MEMBACA DI SINIBaca juga: Tak Ada Vaksinasi Massal untuk Mpox, Pakar Jelaskan Bedanya dengan COVID-19











                Menkes: Polda Jateng Bakal Lakukan Gelar Perkara Kasus PPDS Undip Besok            






















                            Menkes: Polda Jateng Bakal Lakukan Gelar Perkara Kasus PPDS Undip Besok                        








(suc/kna)


perundungan pelecehan seksual ppds undip kesehatan mental bullying menteri kesehatan",Kesehatan
Apakah Obat Statin Cepat Turunkan Kadar Kolesterol? Dokter Bilang Gini,"Rabu, 04 Sep 2024 08:30 WIB","Daftar Isi




							Cara Menurunkan Kolesterol Alami						






Jakarta - Obat golongan statin menjadi 'teman' bagi mereka yang memiliki kondisi kolesterol melebihi batas normal. Obat statin digunakan untuk menurunkan kadar kolesterol jahat atau low-density lipoprotein (LDL).Statin bekerja dengan cara menghambat kerja enzim yang dibutuhkan untuk membentuk kolesterol. Dengan begitu, komplikasi akibat kolesterol tinggi, seperti serangan jantung atau stroke bisa menurun.Namun, apakah penggunaan obat statin benar-benar efektif dalam menurunkan kolesterol secara instan? Terlebih bagi mereka yang baru saja makan besar dengan mengonsumsi makanan-makanan penyebab kolesterol tinggi.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Spesialis penyakit dalam dr Rudy Kurniawan, SpPD mengatakan obat statin memang mampu membantu mengurangi risiko penyakit kardiovaskular. Namun, efek dari obat ini baru bisa dirasakan""Obat ini (statin) tidak dirancang untuk menangani dampak cepat dari makanan tinggi kolesterol,"" ujar dr Rudy kepada detikcom. Efek yang ditimbulkan setelah mengonsumsi obat statin akan muncul secara bertahap. Perlu juga melakukan konsultasi ke dokter untuk mendapatkan dosis obat yang tepat sebelum mengonsumsi obat statin.Baca juga: Leher-Pundak Kaku Pertanda Kolesterol Tinggi? Dokter Gizi Bilang GiniCara Menurunkan Kolesterol AlamiDi sisi lain ada beberapa cara untuk menurunkan kadar kolesterol jahat di tubuh secara alami, yakni dengan mengubah gaya hidup yang lebih sehat.Dikutip dari Mayo Clinic, berikut adalah sederet perubahan gaya hidup yang mampu menurunkan dan menjaga kadar kolesterol dalam batas normal.1. Konsumsi Makanan yang Menyehatkan JantungPemilihan makanan sehat sehari-hari dapat mengurangi kadar kolesterol di tubuh, serta meningkatkan kesehatan jantung. Pertama adalah mengurangi konsumsi lemak jenuh yang biasa ditemukan di daging merah dan produk susu berlemak.Lalu rutin konsumsi makanan kaya akan asam lemak omega-3 yang bisa ditemukan di ikan salmon, makarel, kacang kenari, dan biji rami. Kemudian tingkatkan asupan serat larut, bisa ditemukan dalam makanan seperti oatmeal, kacang merah, apel, dan pir.2. Rutin OlahragaOlahraga yang rutin diketahui dapat meningkatkan high-density lipoprotein (HDL) atau kolesterol 'baik'. Olahraga yang bisa dipilih adalah bersepeda, jalan kaki, atau olahraga yang menjadi favorit.3. Berhenti MerokokBerhenti merokok akan meningkatkan kadar kolesterol HDL. Efek yang ditimbulkan ketika seseorang berhenti merokok juga terbilang cepat.Dalam waktu 20 menit setelah berhenti merokok, tekanan darah dan detak jantung pulih dari lonjakan yang disebabkan oleh rokok. Dalam waktu tiga bulan setelah berhenti, sirkulasi darah dan fungsi paru-paru mulai membaik4. Menurunkan Berat BadanMenurunkan berat badan menjadi salah satu cara yang ampuh untuk menurunkan kadar kolesterol dalam tubuh. Pasalnya, berat badan berlebih bahkan beberapa kilogram saja dapat menyebabkan kolesterol tinggi.Baca juga: Tanda Kolesterol Tinggi Juga Bisa Muncul di Mata, Waspadai Ciri-cirinya











                BPOM Pastikan Suplemen 'Beni-Koji' yang Picu Masalah Ginjal Belum Masuk RI            






















                            BPOM Pastikan Suplemen 'Beni-Koji' yang Picu Masalah Ginjal Belum Masuk RI                        








(dpy/kna)


obat statin kolesterol tinggi ldl hdl kolesterol",Kesehatan
